NS,Scenario,SampleSize,FDH_MSE,EAT_MSE,Ratio_MSE,FDH_Bias,EAT_Bias,Ratio_Bias,FDH_AbsBias,EAT_AbsBias,Ratio_AbsBias
10,1,25,0.7763,0.6889,0.8874,-0.1866,-0.0058,0.0310,0.6860,0.6514,0.9495
10,1,50,0.7489,0.6995,0.9340,-0.1418,-0.0339,0.2389,0.6768,0.6608,0.9764
10,1,75,0.7393,0.7185,0.9719,-0.1241,-0.0485,0.3907,0.6720,0.6695,0.9963
10,2,25,1.6536,1.8090,1.0940,-0.2997,0.3923,-1.3089,1.0266,1.0752,1.0473
10,2,50,1.7797,2.0053,1.1268,-0.2958,0.4072,-1.3768,1.0686,1.1453,1.0718
10,2,75,1.8531,2.3082,1.2456,-0.2794,0.3848,-1.3772,1.0956,1.2353,1.1276
10,3,25,1.7061,1.7083,1.0013,-0.3237,0.3737,-1.1545,1.0394,1.0318,0.9927
10,3,50,1.8595,2.0930,1.1256,-0.3181,0.4242,-1.3334,1.0873,1.1597,1.0666
10,3,75,1.8312,2.2885,1.2497,-0.3114,0.6002,-1.9273,1.0863,1.2284,1.1308
10,4,25,1.7037,1.6288,0.9561,-0.3249,0.3880,-1.1942,1.0194,0.9773,0.9587
10,4,50,1.8688,2.3569,1.2612,-0.3316,0.6455,-1.9466,1.0870,1.2243,1.1263
10,4,75,1.7781,2.1987,1.2365,-0.3250,0.6543,-2.0131,1.0653,1.1956,1.1224
15,1,25,0.8013,0.6245,0.7793,-0.2080,0.0670,-0.3222,0.7017,0.6238,0.8890
15,1,50,0.7699,0.6966,0.9048,-0.1482,0.0226,-0.1525,0.6850,0.6528,0.9530
15,1,75,0.7664,0.7035,0.9179,-0.1239,-0.0309,0.2490,0.6818,0.6587,0.9661
15,2,25,1.9916,2.0088,1.0087,-0.3182,0.5500,-1.7284,1.1321,1.1373,1.0046
15,2,50,1.8515,2.3044,1.2447,-0.2909,0.5370,-1.8457,1.0927,1.2270,1.1229
15,2,75,1.8447,2.1672,1.1748,-0.2771,0.4541,-1.6389,1.0919,1.1968,1.0960
15,3,25,1.8428,1.8288,0.9924,-0.3238,0.5569,-1.7200,1.0766,1.0744,0.9979
15,3,50,2.0043,2.3307,1.1628,-0.3258,0.6052,-1.8574,1.1355,1.2350,1.0876
15,3,75,1.8099,2.4890,1.3752,-0.3094,0.7260,-2.3463,1.0757,1.2766,1.1867
15,4,25,1.7038,1.7381,1.0201,-0.3213,0.5726,-1.7819,1.0321,1.0393,1.0070
15,4,50,1.8283,2.1753,1.1898,-0.3113,0.7578,-2.4340,1.0737,1.1801,1.0991
15,4,75,1.8445,2.5130,1.3624,-0.3290,0.8558,-2.6009,1.0830,1.2817,1.1835
20,1,25,0.8120,0.6785,0.8356,-0.1883,0.1956,-1.0391,0.7041,0.6434,0.9139
20,1,50,0.7718,0.6001,0.7775,-0.1438,0.0474,-0.3292,0.6806,0.6035,0.8868
20,1,75,0.7100,0.6563,0.9244,-0.1191,0.0278,-0.2330,0.6600,0.6391,0.9683
20,2,25,1.9004,1.9649,1.0339,-0.2771,0.6792,-2.4515,1.1040,1.1199,1.0143
20,2,50,1.8600,2.2701,1.2205,-0.2738,0.6402,-2.3384,1.0975,1.2274,1.1183
20,2,75,1.8013,2.2618,1.2556,-0.2700,0.6158,-2.2810,1.0815,1.2259,1.1335
20,3,25,1.6664,1.7728,1.0638,-0.3164,0.6434,-2.0336,1.0268,1.0613,1.0337
20,3,50,1.7723,2.1036,1.1869,-0.3236,0.7019,-2.1689,1.0640,1.1654,1.0953
20,3,75,1.7954,2.0477,1.1405,-0.3078,0.5891,-1.9137,1.0745,1.1522,1.0722
20,4,25,1.6199,1.6656,1.0283,-0.3197,0.7138,-2.2325,1.0122,1.0301,1.0177
20,4,50,1.7719,2.1046,1.1878,-0.3151,0.7619,-2.4181,1.0580,1.1588,1.0953
20,4,75,1.7729,2.2560,1.2725,-0.3267,0.8358,-2.5584,1.0603,1.2088,1.1401
