"EAT_BCC_OUT","FDH_BCC_OUT"
14.014,1.487
2.107,1
1.628,1
3.287,1
2.804,1
1.134,1.032
2.981,1.146
4.547,1.115
2.899,1
1.119,1
4.244,1.148
2.821,1
1.388,1
3.391,1.046
2.602,1
4.684,2.067
2.366,1
1.042,1
4.119,1.876
8.489,6.118
4.905,1
1,1
15.085,4.289
1,1
2.465,1
1.393,1
3.545,1
1.385,1.015
1.833,1
1.084,1
1.539,1.128
6.55,1.452
1.137,1
3.533,1
18.129,4.32
4.417,1.022
4.599,1.566
1.06,1
7.959,1
2.631,1
14.06,2.554
3.16,1.445
3.9,1
4.743,1.781
2.175,1
2.348,1
1.24,1
3.256,1
1,1
1,1
8.539,1.894
1.741,1
4.952,1
1.211,1
1.575,1
4.675,1.264
1.322,1
9.031,1
6.251,1.296
3.276,1
6.529,1.601
5.24,1.869
9.747,3.318
1.286,1
1,1
2.573,1
2.225,1
2.257,1
3.936,1
1,1
4.702,1
5.418,1.201
4.262,1.315
5.073,1.653
1.204,1
13.379,1
4.042,1.093
1.026,1
1.943,1
2.513,1
1.276,1
3.187,1.438
1.623,1
1.411,1
1.819,1
6.391,1
1,1
3.068,1
7.449,1.652
1.729,1
4.823,1
1.922,1
19.809,2.279
1.202,1
1.123,1
3.073,1
5.613,1.929
6.559,1.773
3.127,1
14.248,3.853
2.148,1
4.085,1
2.092,1
3.685,1
3.479,1.453
3.167,1
4.459,1
3.326,1.468
2.879,1
3.701,1.99
5.262,2.012
11.329,2.695
4.125,1.115
1,1
31.17,6.287
3.051,1
1.85,1
1.36,1
1.444,1
1,1
1.51,1
2.107,1
2.558,1
1.555,1.555
1,1
4.04,1.576
21.208,4.278
5.72,1.403
9.625,1.76
4.881,1
8.459,1
2.04,1
19.143,2.175
1,1
2.218,1
1.936,1
2.469,1
2.67,1
1.646,1
3.082,1
1.801,1
1.063,1.063
18.062,4.005
1,1
4.289,1
1.809,1
1.528,1
5.491,1
1.516,1.25
1.997,1
11.599,2.342
2.437,1
7.171,1.759
6.131,2.356
9.054,2.221
1.46,1
1.075,1
1.341,1
2.309,1
8.006,1
1.902,1
4.565,1
1.177,1
2.851,1.157
3.282,2.521
10.894,3.412
2.268,1.076
9.222,1
6.254,1
2.741,1.435
3.607,1
3.116,1
4.001,1.538
3.551,1.91
1.28,1
1,1
2.627,1
4.542,1
1.771,1
3.376,1.095
14.978,3.28
1.435,1
1.636,1
1.735,1
6.101,1.911
1,1
1.889,1.16
4.477,1
4.89,1.322
2.134,1
3.949,1.068
1.861,1
4.114,1.496
1.789,1
2.465,1
1.117,1
2.273,1
3.111,1.738
1.523,1
1.892,1
1,1
2.079,1
2.83,1
2.989,1
1,1
2.163,1
7.106,7.106
2.795,1
2.042,1
1.059,1
1.014,1
1.09,1
1.432,1
1,1
1.554,1
1.77,1
1,1
2.427,1
14.132,5.6
8.725,1
5.64,1
7.283,1
8.232,1
4.465,1
23.007,1
1.79,1
1.381,1
3.738,1
4.125,1
6.931,1.721
2.95,1.134
7.164,1.485
1.163,1
1,1
2.175,2.175
2.591,1.143
6.181,1
1.886,1
1,1
1.887,1
1.625,1
3.187,1
9.166,1.119
2.29,1
2.428,1
1.768,1
8.691,3.037
1.454,1
5.955,1.304
1.212,1
1.857,1
1.498,1
1,1
1.097,1
2.037,1
3.823,1.551
3.146,1.439
6.488,1
1,1
9.389,1.323
1,1
2.094,1.12
1.495,1
1.956,1
14.58,1.284
4.795,2.103
1,1
2.064,1
2.734,1
1.898,1
2.425,1
2.177,1
2.581,1
3.823,1.748
1.91,1
1.472,1
